"code","iso","country","NOD.ind.1996","NOD.ind.1997","NOD.ind.1998","NOD.ind.1999","NOD.ind.2000","NOD.ind.2001","NOD.ind.2002","NOD.ind.2003","NOD.ind.2004","NOD.ind.2005","NOD.ind.2006","NOD.ind.2007","NOD.ind.2008","NOD.ind.2009","NOD.ind.2010","NOD.ind.2011","NOD.ind.2012","NOD.ind.2013","NOD.ind.2014","NOD.ind.2015","NOD.ind.2016","NOD.ind.2017","NOD.ind.2018","NOD.ind.2019","NOD.ind.2020","NOD.ind.2021","NOD.ind.2022","NOD.ind.2023","NOD.ind.2024","NOD.ind.2025"
4,"AFG","Afghanistan",42.0517480830875,44.6849343640432,47.7194281424173,51.0820916099241,54.3589099247703,58.3747657878966,63.1489437346219,68.4621571753109,73.2090617475405,75.3350528770938,73.0181728710053,68.4833679915352,63.7711210059119,60.1604117077891,58.2035813181671,57.3685371207128,56.7596645872881,56.0338489823556,55.7700392402705,55.6656034714195,55.7179051772194,56.0528181503554,56.5377850735026,57.2419111417491,58.1973169410805,61.9105653375646,65.8242540257181,65.611148026676,NA,NA
8,"ALB","Albania",61.3065650402609,61.0632548932447,60.7004570970612,60.4730237912451,60.3010140646147,61.1291356933028,63.0368065013834,65.3727089496178,67.6135677702483,68.478869261985,67.5750982844257,65.6793267477579,63.6272399695678,61.7759915833089,60.6649029554955,60.2083372265543,59.5602703580894,59.145183652669,58.9327413265118,58.7161626583086,58.8264200124891,59.281118468592,59.9125349485836,60.4400895395771,60.9024408317353,61.2933468944869,61.5873436814765,60.2552290515518,NA,NA
12,"DZA","Algeria",53.4119861908237,53.2039038737684,52.7843875789925,52.4531252502029,52.3558167181509,52.5279692980724,53.0982481828729,53.8723162843629,54.5829842106799,54.8789933549512,54.82043232321,54.6954085007388,54.5056829694265,54.3617734574903,53.9576698898761,52.7348223963906,50.4923927721284,48.1983328450009,46.2907342833429,45.6073472419597,46.0008389492633,47.0201892273997,48.4211628754012,49.5967026650162,50.1240746289551,48.8348559991977,47.7743017030562,47.8514078491717,NA,NA
20,"AND","Andorra",43.2832814072731,42.9467651686063,42.7087615452476,42.2825205351671,41.9036871084598,41.5149838340238,41.0490619278176,40.5270226303101,40.1320788775611,40.0822369974022,41.0681121137394,43.726768391025,47.3039444603783,50.8206032860603,52.4196566045759,51.9021099826398,50.7393164326844,49.4723831430581,48.4078385764519,47.9903230872396,48.6513072301581,50.4142241670193,52.970852215531,56.0244404016295,58.2935672037,60.3228068921914,61.4712238855432,59.4026051678178,NA,NA
24,"AGO","Angola",27.2252367547386,27.6976557506763,28.1960516776381,28.9576188159959,29.8866027639534,32.3003796644559,36.7577194880424,42.6710317969851,48.4546983774097,51.2354081372794,48.8192155351876,43.6923477536896,37.6852409542664,32.4422819412555,28.4676457268073,24.9417963395025,21.2411934305792,18.2070058519358,16.0130398824241,15.2062890302641,16.7518577167255,20.7752555700918,26.5933619067597,32.5378774135573,35.7055809121168,35.7142812701139,35.7150147712966,35.6257260654856,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",100,100,100,100,100,87.7599963843864,57.468003861526,41.866848076499,33.57767728859,30.9617530967455,31.6200419938832,33.2757818068488,35.3562345713104,37.2351023113305,38.1280737880254,37.8283602228102,37.1869253446147,36.4008874116501,35.6294741144919,35.1691235544214,34.8926129125545,34.5860988763302,34.4043835495868,34.2366233022972,34.1975078263565,34.1484076139079,34.1318635002175,34.1222383274846,NA,NA
32,"ARG","Argentina",30.8469980223896,30.7852130847776,30.7714798133296,30.7308290408579,30.7676017568611,30.9709444277365,31.5638307845053,32.2614418380197,32.7091835634337,32.8799140091956,32.3577848721317,31.3135254456384,30.0619119281676,29.002345716255,28.5078936412972,28.2209907733951,27.8748903644129,27.7298221851946,27.9580527830733,28.6966773291195,29.857562425239,31.5415191864594,33.3162140860784,34.630934371331,35.2465470108875,30.3365115780078,26.0545510408033,29.1156654182885,NA,NA
51,"ARM","Armenia",60.779559111807,61.4015652664959,62.521791122932,63.4551846684855,64.4360313000609,66.0640315411061,68.1820306677314,70.3298605068474,72.261698629191,73.1020970726294,71.7726951214582,69.2115902723589,66.0850430931861,63.731597057016,62.7712041691684,63.0932098780289,63.56257719709,64.3168010131625,65.3122486820323,66.1346325922221,67.0536847646515,68.2939699332045,69.1541353705849,70.2094009816539,70.432496841258,69.8927118016935,68.6225993843092,64.3657020098446,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
