"code","iso","country","BTZ.ind.1996","BTZ.ind.1997","BTZ.ind.1998","BTZ.ind.1999","BTZ.ind.2000","BTZ.ind.2001","BTZ.ind.2002","BTZ.ind.2003","BTZ.ind.2004","BTZ.ind.2005","BTZ.ind.2006","BTZ.ind.2007","BTZ.ind.2008","BTZ.ind.2009","BTZ.ind.2010","BTZ.ind.2011","BTZ.ind.2012","BTZ.ind.2013","BTZ.ind.2014","BTZ.ind.2015","BTZ.ind.2016","BTZ.ind.2017","BTZ.ind.2018","BTZ.ind.2019","BTZ.ind.2020","BTZ.ind.2021","BTZ.ind.2022","BTZ.ind.2023","BTZ.ind.2024","BTZ.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",51.6420786557899,42.0466472807989,31.671828236259,22.792617264576,18.4100615823127,45.7522188672252,1.08304178473949,11.0541734577543,4.95416176629826,7.35019867286546,8.1209046222983,5.47899097368187,10.4897693063359,3.98756941372169,7.77264599221475,0,0,0,3.15706140460169,0,1.8418255381289,2.60477758065214,2.12875720865834,2.1826624344215,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",39.4035693903069,38.876253655159,37.9896178048804,38.2175045795389,36.4388366153691,37.8820594173987,39.2124953944317,40.9421750782048,43.169241399972,44.1242850098431,44.1299502507428,44.3902283751049,44.1310792837294,44.6380903425898,44.0557984277376,49.7480754647882,49.7259841991221,51.1579402461336,51.2239601616673,49.0865281253414,48.1784586245532,49.7673143217939,48.2483664265548,48.4950982136668,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",40.2058167008092,38.5285112181555,39.7927043920527,38.71599244276,43.4841809477538,33.3864069601578,34.807842067037,37.2313226061071,35.2658831291212,22.6182514193386,21.7397549077732,22.0484671259196,22.2452419308561,24.5950657858339,26.230239468704,24.6566537935972,24.3439361025752,23.4428348826463,23.5410713574548,30.8017277031629,28.3488531427683,26.7509869533964,27.7993386428232,25.901568435974,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",9.97973873845166,13.4999435100485,12.0495791391292,18.1932694871253,19.7862778936735,15.9484296991068,11.7971202322985,10.8012817228757,7.1884286606559,11.5814166844999,18.8348726471296,18.2316848176276,18.2859540913927,11.2901460252695,11.6203827871716,11.4745790724314,15.5721842279878,20.5669352418329,24.1186824985001,51.8654855744725,19.4403555334992,23.6550075515434,25.8781648020467,25.7925316197375,NA,NA,NA,NA,NA,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",73.5488798979096,80.6135196825977,70.2693507100946,71.9465056787547,77.9771024980337,83.7378089310581,69.9634424522867,75.9932336795111,87.1643783915464,69.5437223849354,57.8298591308803,52.5906663119737,44.4346088964105,48.2821056067829,100,22.806986406001,99.7422298290109,97.9329249683124,99.9975284149148,99.9982645328975,99.9909686272485,99.991486525477,99.9915954454286,96.2719109104002,NA,NA,NA,NA,NA,NA
