"code","iso","country","MKP.ind.1996","MKP.ind.1997","MKP.ind.1998","MKP.ind.1999","MKP.ind.2000","MKP.ind.2001","MKP.ind.2002","MKP.ind.2003","MKP.ind.2004","MKP.ind.2005","MKP.ind.2006","MKP.ind.2007","MKP.ind.2008","MKP.ind.2009","MKP.ind.2010","MKP.ind.2011","MKP.ind.2012","MKP.ind.2013","MKP.ind.2014","MKP.ind.2015","MKP.ind.2016","MKP.ind.2017","MKP.ind.2018","MKP.ind.2019","MKP.ind.2020","MKP.ind.2021","MKP.ind.2022","MKP.ind.2023","MKP.ind.2024","MKP.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9613733905579,72.9613733905579,72.9613733905579,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,83.2618025751073,83.2618025751073,83.2618025751073
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,61.7021276595745,61.7021276595745,61.7021276595745
