"code","iso","country","MPE.ind.1996","MPE.ind.1997","MPE.ind.1998","MPE.ind.1999","MPE.ind.2000","MPE.ind.2001","MPE.ind.2002","MPE.ind.2003","MPE.ind.2004","MPE.ind.2005","MPE.ind.2006","MPE.ind.2007","MPE.ind.2008","MPE.ind.2009","MPE.ind.2010","MPE.ind.2011","MPE.ind.2012","MPE.ind.2013","MPE.ind.2014","MPE.ind.2015","MPE.ind.2016","MPE.ind.2017","MPE.ind.2018","MPE.ind.2019","MPE.ind.2020","MPE.ind.2021","MPE.ind.2022","MPE.ind.2023","MPE.ind.2024","MPE.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,88.0128095203304,83.2700909250205,44.1581809629174,29.2231027151826,28.2805934149859,33.791534704139,46.9515304243782,34.0430416692087,29.4914128434464,30.227320091435,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,20.8873290352963,12.0624737157211,0,0,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,100,100,0,0,0,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9.25182272521681,9.25182272521681,16.9045569379587,100,100,100,0,0,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5536363973781,49.0275674431581,51.1174348593749,47.5858989844097,53.7328331025038,55.8266807645596,77.9631377104236,85.0322688758367,77.6205166026304,79.1584391687638,75.2065198184206,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,NA
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,8.24316786198975,23.4917520189139,21.7331587077156,22.2937670985215,23.1318789384475,29.3687709950894,NA
