"code","iso","country","NXA.ind.1996","NXA.ind.1997","NXA.ind.1998","NXA.ind.1999","NXA.ind.2000","NXA.ind.2001","NXA.ind.2002","NXA.ind.2003","NXA.ind.2004","NXA.ind.2005","NXA.ind.2006","NXA.ind.2007","NXA.ind.2008","NXA.ind.2009","NXA.ind.2010","NXA.ind.2011","NXA.ind.2012","NXA.ind.2013","NXA.ind.2014","NXA.ind.2015","NXA.ind.2016","NXA.ind.2017","NXA.ind.2018","NXA.ind.2019","NXA.ind.2020","NXA.ind.2021","NXA.ind.2022","NXA.ind.2023","NXA.ind.2024","NXA.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,29.8027120270278,55.8682636312339,65.2045232787995,65.1908035840166,52.9582578171288,40.9795849979512,41.3586777446904,NA,NA
8,"ALB","Albania",NA,NA,NA,58.5474423127682,1.90399001364521,0,0,0,0,0,0,0.704346881087602,43.3582901318134,53.5885555394944,64.8205250654183,70.0326516955199,76.120920666496,75.9044113647837,65.1643485857291,59.7915877925804,58.18336548321,58.7543402882383,58.8179066556665,63.1571078543524,80.4934290722113,84.3503281513593,95.675003283377,100,NA,NA
12,"DZA","Algeria",NA,NA,NA,59.8710178787034,61.2848366253031,59.054739141368,48.9538539346063,35.1808327504845,25.2998390380412,16.6419242652682,6.15489404514049,0,0,0,0,0,0,0,0,0,0,0.887861675253205,8.8804723915441,15.4375733760081,28.5322287963527,37.5854990812938,41.1692406608093,46.6703968251982,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,39.4266477833446,39.1814223283557,35.0040321871441,31.3326139523006,15.5184335933025,0.292506485621089,1.19966736736079,0,0,0,0,0,0,0,0,0,0,0,0,13.4397484094632,27.1534033503426,56.9415775629522,61.8916697549619,60.4700873780388,60.7946765181623,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,15.2400439114315,37.5086217427864,57.555923209426,69.4657613087516,76.0126561821847,75.6123419688626,65.5380107431163,50.8443262932431,27.3219473032821,0,0,0,0,0,0,17.6655439302622,32.6951342002998,35.2749895332424,32.3484810661463,34.9360168387911,32.0374674475092,31.1955968861463,44.7528564463783,51.54053000986,51.3489659013816,NA,NA
32,"ARG","Argentina",NA,NA,NA,5.12127218857799,13.4892627799232,22.0897006361973,34.8354928214322,41.6018334809939,42.8133829463903,44.6670476111152,37.7016917658459,27.5830927082285,18.482279762148,16.410879266733,12.5214582372896,8.8260382535467,13.3975740153802,17.0164604404912,22.0036162587482,26.6567972068632,30.6946219530965,32.8192125473716,37.5727059004136,48.7865233169946,50.8096066474942,50.8032849745655,50.4052471113041,48.5338729934636,NA,NA
51,"ARM","Armenia",NA,NA,NA,100,100,100,73.1037124047648,0.705542915247108,0,0,0,0,0,9.66801159242719,11.688595923571,14.4117515712567,22.9357056780155,28.4132117833049,24.1977790186296,20.4200914890755,26.7547503366147,16.8943899517268,0,0,0,0,0,0,NA,NA
533,"ABW","Aruba",NA,NA,NA,23.1778225901098,33.9594082974601,37.4724851712506,44.9724658200434,46.2391921707232,43.3743398294144,31.8411782212546,41.3383504007682,26.2310083147279,9.29648262286361,0,0,21.9919533607102,35.5450684144149,40.5971693129533,44.9636463996798,46.4146692538018,45.4537600932571,41.9303418851522,37.7574114700496,27.1719509318844,22.0574855580482,45.2310308078374,50.2583908505413,50.3215464444398,NA,NA
