"code","iso","country","OZD.ind.1996","OZD.ind.1997","OZD.ind.1998","OZD.ind.1999","OZD.ind.2000","OZD.ind.2001","OZD.ind.2002","OZD.ind.2003","OZD.ind.2004","OZD.ind.2005","OZD.ind.2006","OZD.ind.2007","OZD.ind.2008","OZD.ind.2009","OZD.ind.2010","OZD.ind.2011","OZD.ind.2012","OZD.ind.2013","OZD.ind.2014","OZD.ind.2015","OZD.ind.2016","OZD.ind.2017","OZD.ind.2018","OZD.ind.2019","OZD.ind.2020","OZD.ind.2021","OZD.ind.2022","OZD.ind.2023","OZD.ind.2024","OZD.ind.2025"
4,"AFG","Afghanistan",18.9732702573148,18.8534838693335,18.4912784489337,17.3966783764486,17.0038690634281,18.0594010395142,19.3901632573555,18.4401343580204,18.5041556436921,18.5041295648262,19.3968831149137,16.9030731803363,15.944013092524,17.2201984232232,19.5405411356688,20.4611376917626,19.8399546159478,19.2833822359894,20.233910810762,19.1146402565863,18.0139166648332,16.877870459609,19.1273707620443,19.2504536400947,20.7585373122215,21.5213943388145,21.1352810831823,20.2824507976921,NA,NA
8,"ALB","Albania",26.3460436795291,26.4117476282308,29.0854006099397,31.8584815567347,35.3102782167429,35.7473134536095,33.1924372762083,31.4106694913676,31.0654863992854,32.3950991611474,34.5198274499925,35.3576121144578,37.0611181282532,38.9511824113896,42.3044571230813,43.4138758809837,43.2235592488852,42.9834597870863,43.5769079819474,47.0769413731732,48.8267927080515,50.9283807217355,52.0339009671454,53.459480748147,57.6837138954945,59.034542201108,59.7282171348508,60.7892262594768,NA,NA
12,"DZA","Algeria",33.7240255541799,34.0381383392077,35.0420108926159,30.9901168553214,30.3372127959556,30.6809977442126,32.238313505552,32.3579861584765,31.962041866024,33.9919946689982,34.3777688342498,34.5577523836937,34.4821182228658,33.0781615160456,32.4459582237472,32.3853535067118,33.4826172819331,32.2304255381766,31.9779202560884,31.8910795447197,33.1646839570627,33.3240088317807,31.9484780840269,31.4349400407344,32.0936253545462,31.4057465724225,29.1846701971259,29.8938061552566,NA,NA
20,"AND","Andorra",33.8193510272977,35.0671142149472,35.7787540187822,34.8803754140651,34.0115557421369,35.0077004547408,34.184357808449,34.7421828021195,33.9862521019193,33.9703548523784,33.7948382785811,35.1850797807102,35.3727561471371,34.7729132690218,33.9951647035873,34.5400793696545,34.8996236677298,35.0260894372566,35.9438135900419,37.505479378431,39.399531549356,40.9987142110627,40.0079178096956,41.1688482737533,44.1073755241506,44.963978371139,45.2171377274012,44.9707110575227,NA,NA
24,"AGO","Angola",17.1427901922146,17.1464303047084,16.7960564398169,16.3239188610038,20.9329522938602,21.9303980137025,24.2151870219608,22.0229266651687,17.2258028652092,13.4020366047952,10.4608186108473,12.7201580481775,15.782263124326,18.1796799022015,18.9167393826937,19.6165138260175,21.3827351982367,21.7836345581772,22.5498820162454,24.0931542493099,23.9687710638513,24.0990737774101,25.1832827719016,25.7805761924566,28.036203594046,29.4941251396564,28.1597561518061,26.6171845262558,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",79.5849011724054,78.1925380912999,83.0265684999457,86.239367339969,97.7549646466554,89.8293002358263,93.0721914655927,92.7594066072892,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA
32,"ARG","Argentina",49.7883641949382,51.034935276529,48.9446207196846,49.1716815002449,51.5444744924364,52.4925934467289,52.0148887354445,51.2020365553498,51.47914562397,48.4828295251679,47.818643664243,45.7176701816793,49.8962197606678,50.1240896082728,49.1789371215802,47.1438154365618,45.7355678745399,48.2014282595323,49.4899095783657,51.5731858903385,48.1318525335689,52.4327579306952,49.0708388096749,49.6227994989799,52.1628286309522,50.8846307779858,48.6383227749202,49.4978353081701,NA,NA
51,"ARM","Armenia",24.6221114034167,26.0332924639316,26.9074582832766,25.876496665864,25.9777243460571,27.267238702883,27.2963244688854,27.4625018166343,27.3758409186301,27.0649314078206,25.9797118691146,23.7891393137463,24.4258808501259,25.3053706858012,28.432440488211,27.2947308722196,25.7951797307847,24.5820761164559,24.5840096006301,24.7403133972168,26.6051325931665,31.7133626688374,34.6574523841475,34.8414654498209,37.8364826614195,43.4248958905331,45.6566135785771,47.2202480824775,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",74.5678957723652,73.6797426076878,73.7276427667169,74.8488016091316,76.2610476568645,71.5869402049549,72.2448771532611,73.5461184327951,79.9890301327199,79.9152434988683,79.0779380036198,79.2855964171528,80.5456521531323,84.5750741919719,85.8599176585381,85.5923185815237,81.237415030877,78.2908515611862,77.3099159159613,77.1023152821282,75.677476774823,82.0050963360846,74.4972560514673,73.5960028966538,74.4138221015128,73.098061523739,70.8489052746433,71.0639493100976,NA,NA
40,"AUT","Austria",42.2159808300646,42.0284402223179,42.0606900606475,40.1923819603256,39.8566243918863,38.5723155772375,35.200261128326,33.7327657785087,35.0358574315589,37.9031746009339,37.7034503581823,38.3603258579255,40.2861255386268,41.511938393201,41.3167966468222,41.1852673066608,40.2661946665468,39.6843635467528,39.5128851642591,39.2636000574223,39.3193680178405,39.7488951724708,37.8844877166423,38.0946153673958,39.0721732928613,39.8895491577124,39.302862682135,39.254380022241,NA,NA
31,"AZE","Azerbaijan",39.393211002537,40.3936560070841,40.9547323224514,40.5037261300902,41.0373090836462,42.6950786670766,42.6010458740879,42.7044489428084,42.9529158373808,44.9022623581015,44.3416874924952,43.2731448215773,41.7349034933168,42.6367532244751,44.5676751410106,43.4647252251222,42.4588225320169,41.0675666942945,41.1342874737672,41.1829007246504,39.7140472144599,39.8962204837046,39.5190768758371,38.3454260322705,38.5536059419591,39.6069039688778,38.5530179044954,38.5471569884339,NA,NA
44,"BHS","Bahamas",57.248139196364,53.9863469167398,51.0437097164236,50.334347234905,53.5334187913989,55.8332518190369,57.9808509600895,57.0280647436734,55.2772752222647,54.0280293554612,53.1743417299014,53.8648733947767,56.5872486624468,55.6763163771147,54.8437953196391,54.8373334002891,56.664038478336,56.6558743839096,60.6837516493912,61.3362361359645,63.2747262517362,63.111498857644,62.8118997059392,63.8910384911878,65.0844575038959,68.2680814099481,68.3497548238353,68.2229708732694,NA,NA
