"code","iso","country","TCA.raw.2000"
4,"AFG","Afghanistan",205771.133693199
8,"ALB","Albania",648459.393223115
12,"DZA","Algeria",1223324.15193816
20,"AND","Andorra",18988.5032698147
24,"AGO","Angola",55276134.7235496
660,"AIA","Anguilla",2110.9153238405
28,"ATG","Antigua and Barbuda",19323.4179646221
32,"ARG","Argentina",39069969.4385464
51,"ARM","Armenia",336844.951003417
533,"ABW","Aruba",NA
36,"AUS","Australia",42281440.1377067
40,"AUT","Austria",4340283.61249221
31,"AZE","Azerbaijan",1268606.82390796
44,"BHS","Bahamas",303575.287645716
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",1938957.31015094
52,"BRB","Barbados",5229.81107399684
112,"BLR","Belarus",9118583.18799084
56,"BEL","Belgium",865424.761899834
84,"BLZ","Belize",1751750.28283422
204,"BEN","Benin",168201.671280982
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",2577237.82066235
68,"BOL","Bolivia",64556285.1282875
70,"BIH","Bosnia and Herzegovina",2657979.78333378
72,"BWA","Botswana",20328.4813477529
76,"BRA","Brazil",519056655.721031
92,"VGB","British Virgin Islands",7463.88088378357
96,"BRN","Brunei Darussalam",529332.45559191
100,"BGR","Bulgaria",4138949.86316927
854,"BFA","Burkina Faso",NA
108,"BDI","Burundi",537671.045123768
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",8828151.88427826
120,"CMR","Cameroon",31459320.7339114
124,"CAN","Canada",418066874.806927
136,"CYM","Cayman Islands",13458.3907013776
140,"CAF","Central African Republic",47073506.1838122
148,"TCD","Chad",409749.676067057
152,"CHL","Chile",19214324.0904095
156,"CHN","China",162873594.074641
170,"COL","Colombia",81854357.36657
174,"COM","Comoros",134784.165998776
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",3913125.53091921
384,"CIV","Cote d'Ivoire",14866947.3838621
191,"HRV","Croatia",2431303.04210813
192,"CUB","Cuba",4014605.85438429
531,"CUW","Curacao",5260.66776782061
196,"CYP","Cyprus",89657.9967020158
203,"CZE","Czechia",3080968.58716028
180,"COD","Dem. Rep. Congo",199272121.099469
208,"DNK","Denmark",663204.54588622
262,"DJI","Djibouti",NA
212,"DMA","Dominica",70924.8260976866
214,"DOM","Dominican Republic",2576438.46709117
218,"ECU","Ecuador",19048767.7177089
818,"EGY","Egypt",154304.122657158
