"code","iso","country","GEA.raw.2000"
4,"AFG","Afghanistan",10498868.5461187
8,"ALB","Albania",163204.32118272
12,"DZA","Algeria",3402981.00902976
20,"AND","Andorra",17000.1281673523
24,"AGO","Angola",59159846.9064403
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",275.358730523682
32,"ARG","Argentina",118136346.367222
51,"ARM","Armenia",1487372.82553006
533,"ABW","Aruba",2009.99543991089
36,"AUS","Australia",433775549.049538
40,"AUT","Austria",556829.379693039
31,"AZE","Azerbaijan",1526097.86470999
44,"BHS","Bahamas",198917.478695502
48,"BHR","Bahrain",102.289383500814
50,"BGD","Bangladesh",67.5270879119635
52,"BRB","Barbados",169.818442480469
112,"BLR","Belarus",NA
56,"BEL","Belgium",NA
84,"BLZ","Belize",3456.78343182983
204,"BEN","Benin",542244.784707965
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",324711.002634168
68,"BOL","Bolivia",24215043.427427
70,"BIH","Bosnia and Herzegovina",157198.014853731
72,"BWA","Botswana",49086022.2181045
76,"BRA","Brazil",21047613.001593
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",NA
100,"BGR","Bulgaria",97241.7863258757
854,"BFA","Burkina Faso",15019347.8896976
108,"BDI","Burundi",855.331972129643
132,"CPV","Cabo Verde",122833.797704236
116,"KHM","Cambodia",3677.60045916138
120,"CMR","Cameroon",1835422.08284852
124,"CAN","Canada",263476444.144545
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",2401268.37344416
148,"TCD","Chad",35876874.1997893
152,"CHL","Chile",12178854.4503479
156,"CHN","China",162035796.587762
170,"COL","Colombia",10932195.5774278
174,"COM","Comoros",1121.66989719123
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",944.097657318116
384,"CIV","Cote d'Ivoire",121687.766067664
191,"HRV","Croatia",10233.7935098968
192,"CUB","Cuba",30299.4565025696
531,"CUW","Curacao",3151.32631206055
196,"CYP","Cyprus",1647.21176983416
203,"CZE","Czechia",707.593221992254
180,"COD","Dem. Rep. Congo",29886654.3543306
208,"DNK","Denmark",536.299945923173
262,"DJI","Djibouti",181198.079698317
212,"DMA","Dominica",NA
214,"DOM","Dominican Republic",6020.3962647705
218,"ECU","Ecuador",745588.198920508
818,"EGY","Egypt",7280.91934338957
222,"SLV","El Salvador",223.910317858886
226,"GNQ","Equatorial Guinea",135.727218249512
232,"ERI","Eritrea",3758703.08476519
233,"EST","Estonia",2193.41371229291
748,"SWZ","Eswatini",73454.1219126955
231,"ETH","Ethiopia",41764969.4004909
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",2813.708088018
246,"FIN","Finland",1651772.00290252
250,"FRA","France",739016.719353055
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",1430304.90384858
270,"GMB","Gambia",70109.421606549
268,"GEO","Georgia",1265509.20358408
276,"DEU","Germany",14243.1451762531
288,"GHA","Ghana",1068666.53137416
300,"GRC","Greece",212526.195663955
304,"GRL","Greenland",NA
308,"GRD","Grenada",NA
320,"GTM","Guatemala",13795.8211153137
831,"GGY","Guernsey",NA
324,"GIN","Guinea",106357.116705847
624,"GNB","Guinea-Bissau",12413.2258289673
328,"GUY","Guyana",1439916.41743016
332,"HTI","Haiti",8681.05891915284
336,"VAT","Holy See",NA
340,"HND","Honduras",198059.209857269
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",NA
352,"ISL","Iceland",5785336.5883741
356,"IND","India",3610959.71310393
360,"IDN","Indonesia",892510.569345992
364,"IRN","Iran",23243868.4980184
368,"IRQ","Iraq",2139771.12333138
372,"IRL","Ireland",368726.677201593
833,"IMN","Isle of Man",3411.02846364136
376,"ISR","Israel",419.019065752626
380,"ITA","Italy",776545.706418058
388,"JAM","Jamaica",169.223303601074
392,"JPN","Japan",57086.3340973918
832,"JEY","Jersey",NA
400,"JOR","Jordan",29808.2467501909
398,"KAZ","Kazakhstan",194499672.697768
404,"KEN","Kenya",33229755.0406515
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",37053.1700606421
414,"KWT","Kuwait",69.0246701315045
417,"KGZ","Kyrgyzstan",11284950.9349712
418,"LAO","Laos",461.525633135986
428,"LVA","Latvia",NA
422,"LBN","Lebanon",233980.210208163
426,"LSO","Lesotho",2273328.5624618
430,"LBR","Liberia",1627.56378284302
434,"LBY","Libya",512193.442301847
438,"LIE","Liechtenstein",876.560023982078
440,"LTU","Lithuania",97.684164378792
442,"LUX","Luxembourg",NA
446,"MAC","Macao",NA
450,"MDG","Madagascar",30182580.1019989
454,"MWI","Malawi",622395.555237934
458,"MYS","Malaysia",2349.10843696893
462,"MDV","Maldives",NA
466,"MLI","Mali",24860245.1369578
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",15969629.7565228
480,"MUS","Mauritius",NA
484,"MEX","Mexico",49491981.0814366
583,"FSM","Micronesia",NA
498,"MDA","Moldova",NA
492,"MCO","Monaco",NA
496,"MNG","Mongolia",78288513.6354294
499,"MNE","Montenegro",144424.685138255
504,"MAR","Morocco",4922540.83917767
508,"MOZ","Mozambique",2254787.2206213
104,"MMR","Myanmar",96291.9335814416
516,"NAM","Namibia",56754838.7724421
520,"NRU","Nauru",NA
524,"NPL","Nepal",953227.769312434
528,"NLD","Netherlands",3258.65589861756
540,"NCL","New Caledonia",14829.5053662211
554,"NZL","New Zealand",3694817.29990096
558,"NIC","Nicaragua",363000.969886322
562,"NER","Niger",13264087.979451
566,"NGA","Nigeria",4412277.72001501
570,"NIU","Niue",NA
408,"PRK","North Korea",105106.570832454
807,"MKD","North Macedonia",122262.836902458
578,"NOR","Norway",11821009.2938723
512,"OMN","Oman",349393.068200059
586,"PAK","Pakistan",5033966.21920301
585,"PLW","Palau",NA
591,"PAN","Panama",1745.76163248291
598,"PNG","Papua New Guinea",458976.266987838
600,"PRY","Paraguay",1030233.90783136
604,"PER","Peru",28431343.184854
608,"PHL","Philippines",3888.22812420145
616,"POL","Poland",1158.17903303728
620,"PRT","Portugal",19095.0215984497
634,"QAT","Qatar",61.6364166513085
178,"COG","Republic of Congo",8115607.47798058
642,"ROU","Romania",125445.146678887
643,"RUS","Russia",386028245.431147
646,"RWA","Rwanda",563.692929178476
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",NA
882,"WSM","Samoa",NA
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",1017071.6907248
686,"SEN","Senegal",9323474.66226982
688,"SRB","Serbia",22288.4795076847
690,"SYC","Seychelles",1265.41824658215
694,"SLE","Sierra Leone",27992.3035261536
702,"SGP","Singapore",495.845666156006
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",10794.9623330943
705,"SVN","Slovenia",11715.6623027362
90,"SLB","Solomon Islands",NA
706,"SOM","Somalia",39562999.5676491
710,"ZAF","South Africa",70115482.0971435
410,"KOR","South Korea",573.396938128442
728,"SSD","South Sudan",33734563.4419013
724,"ESP","Spain",1101132.01353417
144,"LKA","Sri Lanka",15604.0335696489
670,"VCT","St. Vincent and the Grenadines",NA
275,"PSE","State of Palestine",890.523260913789
729,"SDN","Sudan",47627781.9724869
740,"SUR","Suriname",196009.09123786
752,"SWE","Sweden",4479850.32653913
756,"CHE","Switzerland",541785.194217449
760,"SYR","Syria",409726.090022422
158,"TWN","Taiwan",351.765251934528
762,"TJK","Tajikistan",3746369.96226862
834,"TZA","Tanzania",18225782.0358995
764,"THA","Thailand",1751.21362238375
626,"TLS","Timor-Leste",25946.3626694754
768,"TGO","Togo",248676.838770941
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",NA
788,"TUN","Tunisia",90929.3786941949
792,"TUR","Turkiye",22998394.0035201
795,"TKM","Turkmenistan",8621877.65721165
796,"TCA","Turks and Caicos Islands",10114.7054765686
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",2374269.1070263
804,"UKR","Ukraine",55259.1660269238
784,"ARE","United Arab Emirates",4647.71532285213
826,"GBR","United Kingdom",4002535.72748904
840,"USA","United States of America",244891776.463218
858,"URY","Uruguay",10240052.2739989
860,"UZB","Uzbekistan",9032648.54946473
548,"VUT","Vanuatu",142.270197182894
862,"VEN","Venezuela",8862131.9953007
704,"VNM","Viet Nam",21849.1067751892
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",418.990592993164
887,"YEM","Yemen",3677525.17408422
894,"ZMB","Zambia",13242352.6423521
716,"ZWE","Zimbabwe",6515692.54338213
