"code","iso","country","KFA.raw.2000"
4,"AFG","Afghanistan",40677.5989725373
8,"ALB","Albania",101541.99639256
12,"DZA","Algeria",483096.461948794
20,"AND","Andorra",18601.1754268674
24,"AGO","Angola",2062676.62969343
660,"AIA","Anguilla",918.716377932175
28,"ATG","Antigua and Barbuda",1748.43023465913
32,"ARG","Argentina",5528740.69207607
51,"ARM","Armenia",127474.409931882
533,"ABW","Aruba",NA
36,"AUS","Australia",8843028.20903865
40,"AUT","Austria",723675.243894112
31,"AZE","Azerbaijan",258278.336714535
44,"BHS","Bahamas",104255.213187029
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",174822.361106691
52,"BRB","Barbados",2796.35234725565
112,"BLR","Belarus",1085323.35637137
56,"BEL","Belgium",320813.755962905
84,"BLZ","Belize",1171793.36764947
204,"BEN","Benin",41464.6610887213
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",893292.559266246
68,"BOL","Bolivia",25607853.725755
70,"BIH","Bosnia and Herzegovina",20618.9267917915
72,"BWA","Botswana",15569.9444700075
76,"BRA","Brazil",71087515.161944
92,"VGB","British Virgin Islands",1574.11164611261
96,"BRN","Brunei Darussalam",172718.656166486
100,"BGR","Bulgaria",1405121.8880683
854,"BFA","Burkina Faso",NA
108,"BDI","Burundi",83311.7371924185
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",3704279.70053804
120,"CMR","Cameroon",3049599.14734951
124,"CAN","Canada",4870074.51351055
136,"CYM","Cayman Islands",4080.45432274436
140,"CAF","Central African Republic",3436376.27274791
148,"TCD","Chad",13190.1465540164
152,"CHL","Chile",1855286.14774167
156,"CHN","China",14189616.9907288
170,"COL","Colombia",12012653.7400697
174,"COM","Comoros",43524.3325656628
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",2799389.96846602
384,"CIV","Cote d'Ivoire",1174656.69254651
191,"HRV","Croatia",1051423.73329099
192,"CUB","Cuba",1079666.82953476
531,"CUW","Curacao",2578.53340501562
196,"CYP","Cyprus",70037.3787507133
203,"CZE","Czechia",555454.910827199
180,"COD","Dem. Rep. Congo",NA
208,"DNK","Denmark",68242.7417071913
262,"DJI","Djibouti",NA
212,"DMA","Dominica",10012.521095348
214,"DOM","Dominican Republic",599468.334248974
218,"ECU","Ecuador",11723605.0353054
818,"EGY","Egypt",27801.1824235634
222,"SLV","El Salvador",174544.451971473
226,"GNQ","Equatorial Guinea",379887.971011787
232,"ERI","Eritrea",NA
233,"EST","Estonia",394797.649834932
748,"SWZ","Eswatini",118265.732313747
231,"ETH","Ethiopia",2689401.99127878
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",751.637425234409
242,"FJI","Fiji",489068.957843954
246,"FIN","Finland",843403.093341452
250,"FRA","France",1693069.33546877
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",5873490.19142851
270,"GMB","Gambia",433.442660126075
268,"GEO","Georgia",790974.60582241
276,"DEU","Germany",2435850.96886108
288,"GHA","Ghana",650011.71232536
300,"GRC","Greece",1042714.22103863
304,"GRL","Greenland",NA
308,"GRD","Grenada",3198.62687487409
320,"GTM","Guatemala",4439450.32347249
831,"GGY","Guernsey",NA
324,"GIN","Guinea",448172.484815169
624,"GNB","Guinea-Bissau",412778.849741303
328,"GUY","Guyana",60689.3726556189
332,"HTI","Haiti",187864.907804469
336,"VAT","Holy See",NA
340,"HND","Honduras",1908914.47167356
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",492052.809666407
352,"ISL","Iceland",NA
356,"IND","India",8283747.67067571
360,"IDN","Indonesia",24911682.1934565
364,"IRN","Iran",351716.832102523
368,"IRQ","Iraq",11281.4876550136
372,"IRL","Ireland",74961.7388479295
833,"IMN","Isle of Man",NA
376,"ISR","Israel",2391.1973795396
380,"ITA","Italy",1933516.34051393
388,"JAM","Jamaica",309797.683093701
392,"JPN","Japan",5083819.79535959
832,"JEY","Jersey",NA
400,"JOR","Jordan",1974.34430943204
398,"KAZ","Kazakhstan",527349.52533066
404,"KEN","Kenya",1533710.79652412
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",NA
417,"KGZ","Kyrgyzstan",6241.85061195812
418,"LAO","Laos",4727124.00957995
428,"LVA","Latvia",340519.576872007
422,"LBN","Lebanon",26973.8225597097
426,"LSO","Lesotho",838.911175749543
430,"LBR","Liberia",2765954.35151427
434,"LBY","Libya",6610.87652439986
438,"LIE","Liechtenstein",656.20875458229
440,"LTU","Lithuania",374548.353857203
442,"LUX","Luxembourg",15695.2433819967
446,"MAC","Macao",NA
450,"MDG","Madagascar",6236412.43332238
454,"MWI","Malawi",666313.5079273
458,"MYS","Malaysia",5391553.33071937
462,"MDV","Maldives",NA
466,"MLI","Mali",64.074412979109
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",NA
480,"MUS","Mauritius",NA
