"code","iso","country","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019","GHI.raw.2020","GHI.raw.2021","GHI.raw.2022","GHI.raw.2023","GHI.raw.2024"
4,"AFG","Afghanistan",3.54438452643782e-07,3.42903588636505e-07,3.21927725089361e-07,3.60392919338985e-07,3.37558334335064e-07,3.46546242456887e-07,3.88488789774456e-07,3.20824879946487e-07,2.93310097181418e-07,2.90467171380221e-07,2.86125794666097e-07,2.71236297075012e-07,2.76079787858524e-07,2.8126561637516e-07,2.74397350633641e-07,2.86843990485078e-07,3.48313176294864e-07,3.78510842191374e-07,3.76399577343669e-07,3.75756598598026e-07
8,"ALB","Albania",2.98258565100032e-07,2.71195910325746e-07,2.52630522130083e-07,2.4503730889644e-07,2.33188474455769e-07,2.4011747250447e-07,2.44531226471466e-07,2.3904002847617e-07,2.47195946822702e-07,2.65400027875384e-07,2.2558860870643e-07,2.11856607881624e-07,2.24413876946731e-07,2.13467426126371e-07,1.99339493741395e-07,1.98349839661279e-07,1.87030066432183e-07,1.60609060735304e-07,1.5007952909068e-07,1.41757445117451e-07
12,"DZA","Algeria",3.64404478428141e-07,3.50355415433983e-07,3.40130548166736e-07,3.40267282341776e-07,3.39500670286604e-07,3.36641524261726e-07,3.40262680353419e-07,3.53194044411492e-07,3.53638307715219e-07,3.63771265200873e-07,3.65934428907769e-07,3.51611924728328e-07,3.56384559834243e-07,3.66183681700713e-07,3.74484130033868e-07,3.70624987832084e-07,3.77861041300065e-07,3.83799573580812e-07,3.8543750930384e-07,3.62596189769934e-07
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",3.91916529952545e-07,3.18236608405849e-07,2.7375020394003e-07,2.5697159928434e-07,2.57977065749331e-07,2.74651663537591e-07,2.59371865539265e-07,2.50723853596879e-07,2.40605752302804e-07,2.29952513030736e-07,2.39748580997916e-07,2.34041631117852e-07,2.22596730387569e-07,2.14143130275654e-07,2.09918712044924e-07,1.94659536172702e-07,1.94384136133219e-07,1.93332413259145e-07,1.91520831838207e-07,1.87935818968139e-07
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",2.58978299276185e-07,2.44435326883582e-07,2.30307702709734e-07,2.31440798053952e-07,2.70180014541645e-07,2.79965717230211e-07,2.83093441621996e-07,2.78901724981531e-07,2.80775708049927e-07,2.79791126998775e-07,2.80767600047908e-07,2.76170949955343e-07,2.7172508916463e-07,2.60035069009131e-07,2.59738322957921e-07,3.10043754122928e-07,2.94506246188078e-07,2.73237067852993e-07,2.67310720837914e-07,2.66692252477803e-07
32,"ARG","Argentina",3.66720165918651e-07,3.5659647547213e-07,3.2769614229468e-07,3.24169965117609e-07,3.27201563132576e-07,2.96574067933893e-07,2.82079492777345e-07,2.89294536982178e-07,2.84211323049422e-07,2.93117694137123e-07,2.87980334803762e-07,2.9690981202287e-07,2.91354748321432e-07,2.96553080427538e-07,3.03940631258341e-07,3.22471513635539e-07,3.13165275339439e-07,2.92490170397819e-07,2.93098501320718e-07,2.93738412816136e-07
51,"ARM","Armenia",2.69126614805491e-07,2.38024135665892e-07,2.37000490092242e-07,2.34281636457891e-07,2.29843048842142e-07,2.19510323168142e-07,2.31720907847094e-07,2.40875026810914e-07,2.3328541797958e-07,2.29306616033257e-07,2.20558442062354e-07,2.15376824829843e-07,2.05606509565669e-07,1.99279397870684e-07,1.95015597622735e-07,2.26654829161536e-07,2.2759490539083e-07,2.08723767560564e-07,1.84333322902463e-07,1.75029985824352e-07
533,"ABW","Aruba",7.4010705630736e-07,7.23458827343256e-07,7.29895906994255e-07,6.7480329453622e-07,7.54876290085941e-07,7.37943236300116e-07,7.1187785465101e-07,3.88650341066815e-07,2.36026082999123e-07,2.35853766911392e-07,2.34165683506529e-07,2.27824236247689e-07,2.21876606575085e-07,2.0985090454192e-07,1.99036064402927e-07,2.58161564270366e-07,2.35843347602768e-07,2.19956913934398e-07,2.03896001708079e-07,1.98051193968625e-07
36,"AUS","Australia",5.70409317352136e-07,5.62240715276316e-07,5.46178996079128e-07,5.27024911967334e-07,5.20403274288237e-07,5.04158968449657e-07,5.0358913780244e-07,4.88231591267073e-07,4.68084603735512e-07,4.53454940809248e-07,4.49325725072099e-07,4.34773323537015e-07,4.37908552795891e-07,4.2452441046566e-07,4.14409986341806e-07,3.96983174688612e-07,3.85509111286674e-07,3.68364819505459e-07,3.65810517094033e-07,3.61072462861722e-07
40,"AUT","Austria",2.02781324809527e-07,1.90995152512855e-07,1.78353128496339e-07,1.74169764618515e-07,1.67236368842566e-07,1.74444399036794e-07,1.65047357042495e-07,1.58578446110321e-07,1.59807541197726e-07,1.51726823103896e-07,1.539592223424e-07,1.5242392504472e-07,1.53088861303017e-07,1.43593035816072e-07,1.43216955570877e-07,1.41580471272273e-07,1.40939075480468e-07,1.25833961400923e-07,1.18594885680159e-07,1.1819963698378e-07
31,"AZE","Azerbaijan",5.60019270511238e-07,4.2761984715353e-07,3.32753302857255e-07,3.27450367967857e-07,2.68709395979146e-07,2.4958024130817e-07,2.6640328038083e-07,2.76362653229241e-07,2.66765730854332e-07,2.65087867198727e-07,2.64422479522359e-07,2.72164238295116e-07,2.71225866763901e-07,2.67485063845307e-07,2.79686073496433e-07,2.83925926385021e-07,2.80050862484192e-07,2.82731328901957e-07,2.84863898777513e-07,2.61421225117647e-07
44,"BHS","Bahamas",1.79558107407705e-07,1.71707985026886e-07,1.71483535332088e-07,1.79786206962051e-07,2.07118155323167e-07,2.10844768894076e-07,2.00075414468834e-07,1.86807567597566e-07,1.88538708685814e-07,1.9077967538474e-07,2.02479191650344e-07,2.06473320189209e-07,2.21716894229773e-07,2.11169580968485e-07,2.18943945530484e-07,2.29320796146907e-07,2.5050347114664e-07,2.43780255753862e-07,2.36484097764767e-07,2.3693262649841e-07
48,"BHR","Bahrain",8.79234773987887e-07,8.08135273969154e-07,8.06131180925651e-07,8.3634023789082e-07,8.02081201339292e-07,7.7183545484391e-07,7.50876105027921e-07,7.40591255493555e-07,7.98548415627602e-07,7.70904612373005e-07,7.73115531823552e-07,7.36356029818455e-07,7.11982882631945e-07,6.94874894441324e-07,7.49533997296965e-07,7.96989559575812e-07,7.46704823192989e-07,7.20355537848165e-07,7.05423044382881e-07,6.92368859479162e-07
50,"BGD","Bangladesh",2.47752016767834e-07,2.43098279979693e-07,2.32233488927336e-07,2.27064845639102e-07,2.24510526157788e-07,2.23528334869196e-07,2.12905840769101e-07,2.06791934552045e-07,2.02922656384229e-07,1.97256597580173e-07,1.96534823799928e-07,1.88963584180435e-07,1.84399098562075e-07,1.72814493961075e-07,1.68391933267242e-07,1.6542089487704e-07,1.59317383218407e-07,1.51827167070327e-07,1.41538629494351e-07,1.38252217244526e-07
52,"BRB","Barbados",2.72010351472337e-07,2.60753994059019e-07,2.54329487589083e-07,2.93024820817023e-07,3.03560986089295e-07,2.88089165685955e-07,2.98775190024472e-07,2.96325572673793e-07,2.98698763594442e-07,2.67023130832077e-07,2.64349837002136e-07,2.67018926652374e-07,2.70056492096192e-07,2.82173979654633e-07,2.72152809796625e-07,2.89355542284057e-07,2.77841067248923e-07,2.58738442714395e-07,2.51114629996091e-07,2.53048077027972e-07
